,Symbol,Avg Return,Sharpe Ratio
368,USMANIAGL,42.672939031311245,0.27116717754519415
180,IDLC,36.498564714223455,0.23736578658403465
74,BDLAMPS,7.080318176920386,0.0615264736284599
242,NCCBANK,6.110822592080613,0.007396793993717038
123,EASTRNLUB,1.7952404177505945,-0.9425989147718268
345,SQUARETEXT,0.8260439522022148,-2.0797040231384725
374,WATACHEM,2.1531625467411795,-3.9583152795776133
26,AAMRATECH,1.367958771960612,-4.999095774303831
268,PHARMAID,0.43467450352327114,-5.015633863737418
205,KOHINOOR,0.44475131077080166,-5.581176959110704
321,SAVAREFR,0.5736436409751832,-5.603683772270675
311,SAFKOSPINN,0.48171556443061014,-5.702810520933267
249,NORTHERN,0.5822843231322433,-5.722164525794536
88,BSCCL,1.8792447976871394,-5.738742585879832
119,DULAMIACOT,0.36696020857801886,-5.7619330188169116
351,STYLECRAFT,0.7554655187074459,-5.768766904980284
294,RAHIMTEXT,0.7103627914965998,-5.893489952287261
317,SAMATALETH,0.3845089699244304,-5.961355931957643
117,DSHGARME,0.45970764380481766,-5.9684890899442475
339,SONALIANSH,0.49803420151489786,-6.002119651387823
235,MONNOSTAF,0.4669360602076998,-6.112529690577342
355,TALLUSPIN,0.37780281235182644,-6.235446371441659
313,SAIHAMCOT,1.0664818352151302,-6.243749679621267
364,UNITEDAIR,-0.12777758534100053,-6.249801271657339
341,SONARGAON,0.3424912229540704,-6.271439355121435
314,SAIHAMTEX,0.3873812519510623,-6.378070791114243
141,FEDERALINS,0.3091022733026926,-6.390500442772701
186,IMAMBUTTON,0.23690419460843146,-6.42814483514117
291,PURABIGEN,0.47016538970991456,-6.435018502581289
363,UNIQUEHRL,1.3272853689174702,-6.444436676156136
48,ANLIMAYARN,0.4367459461689327,-6.480377071450845
318,SAMORITA,0.37224685782942163,-6.484264878636644
231,MITHUNKNIT,0.5040996588944441,-6.534575283582028
150,GEMINISEA,0.3507213011322685,-6.5506507794683975
199,JUTESPINN,0.18597440038851043,-6.795248539126942
303,RENWICKJA,0.40291152264945834,-6.845173810166676
139,FASFIN,-0.7291336464295521,-6.8890016525703395
212,LIBRAINFU,0.3377850625441855,-6.893152658648953
168,HRTEX,0.38779277125237,-6.917228946940372
284,PRIMEINSUR,0.3606555787268678,-6.94914839120815
305,RNSPIN,-0.23492165678215526,-7.0137681020747396
348,STANCERAM,0.24740498379532916,-7.013851229853115
165,HAKKANIPUL,0.5037425078620135,-7.022191079692499
63,BANGAS,0.4534567731899776,-7.041567241984027
201,KAY&QUE,0.13855208867990257,-7.114651728082625
108,DELTASPINN,0.3414070469580242,-7.1312865442304485
49,ANWARGALV,0.2318075520894416,-7.140090650482443
59,ASIAPACINS,0.3575565226599837,-7.1824327502495695
58,ASIAINS,-0.06617895728573416,-7.210264608094654
223,MEGHNAPET,0.5226999372753403,-7.261440785729908
56,ARAMITCEM,0.420634459474314,-7.300366783830844
98,CITYGENINS,0.23791581362329695,-7.306495035347505
156,GLOBALINS,0.3218593896778229,-7.340409248806863
285,PRIMELIFE,0.29874519018139556,-7.355610654315744
200,KARNAPHULI,0.1866458555567508,-7.356893978461024
309,RUPALIINS,0.20518392045252715,-7.373759702169257
143,FINEFOODS,0.6761769196349,-7.397748162119715
225,MERCINS,0.26049098129163134,-7.407902502330429
112,DHAKAINS,-0.2618798572614102,-7.414796820043758
220,MEGCONMILK,0.4147766021858889,-7.437703608412971
77,BEACHHATCH,0.6064407034424809,-7.438940874676877
340,SONARBAINS,0.2958306844408561,-7.502394721905187
39,AIBL1STIMF,0.09493610529504468,-7.517266169748414
73,BDFINANCE,0.09789269877660696,-7.52639029857842
226,METROSPIN,0.3661850367975209,-7.541136712214662
95,CENTRALINS,0.2306091100961197,-7.568929237495299
304,REPUBLIC,0.18646121289317794,-7.572020616848328
266,PEOPLESINS,0.08406081812422546,-7.573918761839232
92,BXSYNTH,0.18348995316045927,-7.600694486149404
259,ORIONINFU,0.32631819406879814,-7.6379738967980675
101,CONTININS,0.1704672400729127,-7.64458658667327
247,NITOLINS,0.3480053771821686,-7.677780016585469
250,NORTHRNINS,0.2118962053948158,-7.681943111312164
121,EASTERNINS,0.14242616079081838,-7.686482286542821
366,UNITEDINS,0.0021749060775012163,-7.689177719093418
263,PARAMOUNT,0.1701120204642679,-7.702332190255255
76,BDWELDING,0.3236810919669585,-7.714618035435427
308,RUPALIBANK,0.326602983058664,-7.730191332375669
210,LEGACYFOOT,0.5699050222791686,-7.737523019599146
269,PHENIXINS,0.21593789311974065,-7.746941057147394
257,OLYMPIC,0.309805360226613,-7.749690840331632
147,FUWANGCER,0.1802289955053435,-7.832621644763475
301,RELIANCINS,0.24446145561370483,-7.866314525785815
262,PADMAOIL,-0.017474348164041007,-7.876917896106377
38,AGRANINS,0.30350950062387283,-7.894432614830895
349,STANDARINS,0.2042237869312927,-7.905781856752905
288,PROVATIINS,-0.3376398242011262,-7.9198678108253535
197,JANATAINS,0.4718271987605877,-7.928718866521305
319,SANDHANINS,0.051737149828047245,-7.9327174796489075
331,SHYAMPSUG,0.2059238350616296,-7.960471710328432
272,PIONEERINS,0.2434448993788997,-7.986128114160217
290,PUBALIBANK,0.24678859690533772,-7.9865140543473085
110,DESHBANDHU,-0.2808139686201815,-7.994535214833159
122,EASTLAND,0.19046995225294888,-7.997913193168387
286,PRIMETEX,0.20118044644778332,-8.015566245700034
191,ISLAMICFIN,-0.08264479045340054,-8.023446043312866
91,BXPHARMA,0.1946732164304505,-8.080206462468961
354,TAKAFULINS,0.0058661452341542105,-8.100846115846357
