symbol,Alpha,Beta,Data Length,Market Premium C,Market Premium S,Market Variance,R Squared,R Squared Adj,Regression Variance,Residual Variance,Symbol Variance,Total Variance
00DS30,-5.908654087700805e-05,0.9381182091831426,1129.0,0.006884905445431855,-0.048454473213150134,0.011014404731913193,0.8572755784578137,0.8571489374449102,0.009684814801232554,0.0016123865242209765,0.011307216574855528,0.011297201325453532
00DSEGEN,-0.00023428854745177763,-1.9651164376299768e-18,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,-inf,-inf,-2.999783786618029e-36,2.999783786618029e-36,0.0,0.0
00DSES,-5.006393436845712e-05,0.8519318645390327,1129.0,0.006884905445431855,-0.048454473213150134,0.011014404731913193,0.8193527419374658,0.819192451557641,0.007987040990040427,0.0017609473686169602,0.00975663019230868,0.009747988358657388
00DSEX,2.371692252312041e-19,1.000000000000001,1307.0,0.023084423690658218,-0.03224159613582199,0.0115172389273445,1.0,1.0,0.011508426961830081,1.4146403743925685e-32,0.0115172389273445,0.011508426961830081
01.Bank,0.00024064819892364887,1.4871869669721973,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.18941010427098215,0.18795743420695155,0.023998149188802106,0.1027012646633165,0.12692606754416175,0.1266994138521186
02.Cement,0.00020485053056107198,1.0491753813133515,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.025088668666444436,0.023341515742907548,0.011943807358490065,0.46412000923073626,0.476915451323733,0.4760638165892263
03.Ceramics_Sector,0.006017639643995359,0.26936227054896533,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.0003567768120505965,-0.0014346984983222288,0.0007872635344518209,2.205812234697927,2.2105469034170526,2.206599498232379
04.Engineering,0.0036758273607754993,0.574948372096566,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.002193897789800392,0.0004057148109289921,0.0035867764081067175,1.6313008764178016,1.6378123176789063,1.6348876528259082
05.Financial_Institutions,-9.599677997011892e-05,1.357181562510692,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.10254080858301551,0.1009324587776087,0.019985844744159428,0.17492040790138294,0.19525492214938053,0.19490625264554234
06.Food_&_Allied,0.0069301824999393235,-0.08446907967977813,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,1.6141480905118577e-05,-0.0017759442870504127,7.741803287162342e-05,4.796138823025096,4.804796234333564,4.796216241057968
07.Fuel_&_Power,0.0008952148593988096,0.3799765303545084,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.00317073136778645,0.0013842989867250965,0.0015666073249092304,0.49251729420816137,0.4949677725554912,0.49408390153307064
08.Insurance,0.0004883134850281542,0.7419272676066814,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.04257448712431722,0.040858670792998764,0.00597268035286048,0.13431510128078059,0.1405387436759195,0.14028778163364108
09.IT_Sector,0.0010279194667351796,1.1975908564436517,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.06118029380151824,0.059497821209764656,0.01556193332622513,0.2387999266660026,0.2548168901532156,0.2543618599922277
10.Jute,0.004452499310486093,0.1857222390423337,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.0002577896251336753,-0.0015338630816312815,0.00037426087522647307,1.451433099612875,1.454404511401318,1.4518073604881014
11.Miscellaneous,0.053423328751471315,1.8854280880030732,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.000942957327583982,-0.0008474674800726945,0.038571502145281045,40.86625103538,40.97799753312014,40.904822537525284
12.Mutual_Funds,-5.01332057238846e-05,0.6579565810517192,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.032273913428013556,0.030539637287203436,0.004697221906557525,0.14084514986173138,0.1458027337929191,0.1455423717682889
13.Paper_&_Printing,0.006177372705847393,0.3310366187316387,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.00030579086648607756,-0.001485775816548962,0.0011890460704364614,3.8872399449592203,3.8953850357363287,3.8884289910296563
14.Pharmaceuticals_&_Chemicals,0.0019208842186399658,0.6126548958896971,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.005319065257914479,0.0035364829375881257,0.004072662521789528,0.7615999367623872,0.7670423177086565,0.7656725992841767
15.Services_&_Real_Estate,0.003574317232397189,-0.12703847714523786,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,3.8874258217136415e-05,-0.001753170769994039,0.00017511250689015157,4.504412625531944,4.512646034529064,4.504587738038834
16.Tannery_Industries,0.016780632283792986,1.8882826785013616,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.0020948783493058842,0.00030651791624003444,0.03868838721332146,18.42939460488005,18.50112070764273,18.468082992093372
17.Telecommunication,0.00941351974022378,-0.8987078444124359,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.0011806530412087346,-0.0006093457884666087,0.008763622710908692,7.413927383900628,7.435969523617997,7.422691006611537
18.Textile,0.0011998812034187726,0.5392774063512654,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.0033939126830346833,0.0016078802684881266,0.003155520878530593,0.926603483913871,0.9314222588260195,0.9297590047924016
19.Travel_&_Leisure,0.001936635752481066,0.5998039346182108,560.0,-0.03545306689869676,-0.09148513040266298,0.010869831862424798,0.003177410188103136,0.001390989776253737,0.003903599268098134,1.224643877137041,1.2307452357547013,1.2285474764051392
